person_id,party_id,tenant_id,strategy,match_evidence,status,created_at,sealed_at
fdef6bb3-475b-416c-b714-a895632e9247,fdef6bb3-475b-416c-b714-a895632e9247,3006f5c2-f5df-4b5f-93c1-7ec77a682100,CREATE_NEW_PARTY,"{""reason"": ""no_existing_party"", ""persons_total"": 848, ""r0_census_date"": ""2026-09-12"", ""collision_check"": ""pass"", ""uuid_collisions"": 0, ""deterministic_duplicates"": 0, ""data_quality_missing_dob_pct"": 0.00, ""data_quality_missing_name_pct"": 0.00}",planned,Sat Sep 12 2026 14:05:28 GMT+0700 (Indochina Time),Sat Sep 12 2026 14:05:29 GMT+0700 (Indochina Time)
bb49754a-3bec-409d-b86d-2048ed6a4806,bb49754a-3bec-409d-b86d-2048ed6a4806,3006f5c2-f5df-4b5f-93c1-7ec77a682100,CREATE_NEW_PARTY,"{""reason"": ""no_existing_party"", ""persons_total"": 848, ""r0_census_date"": ""2026-09-12"", ""collision_check"": ""pass"", ""uuid_collisions"": 0, ""deterministic_duplicates"": 0, ""data_quality_missing_dob_pct"": 0.00, ""data_quality_missing_name_pct"": 0.00}",planned,Sat Sep 12 2026 14:05:28 GMT+0700 (Indochina Time),Sat Sep 12 2026 14:05:29 GMT+0700 (Indochina Time)
f13560a8-6966-4cdc-9ed3-119f725f623b,f13560a8-6966-4cdc-9ed3-119f725f623b,edcc1bbf-225c-428c-8f28-8f9307794f69,CREATE_NEW_PARTY,"{""reason"": ""no_existing_party"", ""persons_total"": 848, ""r0_census_date"": ""2026-09-12"", ""collision_check"": ""pass"", ""uuid_collisions"": 0, ""deterministic_duplicates"": 0, ""data_quality_missing_dob_pct"": 0.00, ""data_quality_missing_name_pct"": 0.00}",planned,Sat Sep 12 2026 14:05:28 GMT+0700 (Indochina Time),Sat Sep 12 2026 14:05:29 GMT+0700 (Indochina Time)
ff46d2b1-1c11-4151-95a6-ce3bef45aba9,ff46d2b1-1c11-4151-95a6-ce3bef45aba9,edcc1bbf-225c-428c-8f28-8f9307794f69,CREATE_NEW_PARTY,"{""reason"": ""no_existing_party"", ""persons_total"": 848, ""r0_census_date"": ""2026-09-12"", ""collision_check"": ""pass"", ""uuid_collisions"": 0, ""deterministic_duplicates"": 0, ""data_quality_missing_dob_pct"": 0.00, ""data_quality_missing_name_pct"": 0.00}",planned,Sat Sep 12 2026 14:05:28 GMT+0700 (Indochina Time),Sat Sep 12 2026 14:05:29 GMT+0700 (Indochina Time)
affdcf84-1b5d-45d1-ad12-b0fa40abc6bb,affdcf84-1b5d-45d1-ad12-b0fa40abc6bb,a64ba974-1f8d-4857-a3f6-95b70455741a,CREATE_NEW_PARTY,"{""reason"": ""no_existing_party"", ""persons_total"": 848, ""r0_census_date"": ""2026-09-12"", ""collision_check"": ""pass"", ""uuid_collisions"": 0, ""deterministic_duplicates"": 0, ""data_quality_missing_dob_pct"": 0.00, ""data_quality_missing_name_pct"": 0.00}",planned,Sat Sep 12 2026 14:05:28 GMT+0700 (Indochina Time),Sat Sep 12 2026 14:05:29 GMT+0700 (Indochina Time)
48010fc5-372c-4925-b889-4c974f79fa3b,48010fc5-372c-4925-b889-4c974f79fa3b,a64ba974-1f8d-4857-a3f6-95b70455741a,CREATE_NEW_PARTY,"{""reason"": ""no_existing_party"", ""persons_total"": 848, ""r0_census_date"": ""2026-09-12"", ""collision_check"": ""pass"", ""uuid_collisions"": 0, ""deterministic_duplicates"": 0, ""data_quality_missing_dob_pct"": 0.00, ""data_quality_missing_name_pct"": 0.00}",planned,Sat Sep 12 2026 14:05:28 GMT+0700 (Indochina Time),Sat Sep 12 2026 14:05:29 GMT+0700 (Indochina Time)
37cc39dc-6ea3-44d0-bd28-9e455bb37783,37cc39dc-6ea3-44d0-bd28-9e455bb37783,1c722455-0fd0-4c5e-aa81-81d86ecafc2a,CREATE_NEW_PARTY,"{""reason"": ""no_existing_party"", ""persons_total"": 848, ""r0_census_date"": ""2026-09-12"", ""collision_check"": ""pass"", ""uuid_collisions"": 0, ""deterministic_duplicates"": 0, ""data_quality_missing_dob_pct"": 0.00, ""data_quality_missing_name_pct"": 0.00}",planned,Sat Sep 12 2026 14:05:28 GMT+0700 (Indochina Time),Sat Sep 12 2026 14:05:29 GMT+0700 (Indochina Time)
9ff0ed24-b127-4147-904f-e093b3cdccd9,9ff0ed24-b127-4147-904f-e093b3cdccd9,1c722455-0fd0-4c5e-aa81-81d86ecafc2a,CREATE_NEW_PARTY,"{""reason"": ""no_existing_party"", ""persons_total"": 848, ""r0_census_date"": ""2026-09-12"", ""collision_check"": ""pass"", ""uuid_collisions"": 0, ""deterministic_duplicates"": 0, ""data_quality_missing_dob_pct"": 0.00, ""data_quality_missing_name_pct"": 0.00}",planned,Sat Sep 12 2026 14:05:28 GMT+0700 (Indochina Time),Sat Sep 12 2026 14:05:29 GMT+0700 (Indochina Time)
63c2f3d4-0b62-4690-9934-bb13015d20e6,63c2f3d4-0b62-4690-9934-bb13015d20e6,dce8d4ce-2294-42b6-86ef-b6bcbeddb11c,CREATE_NEW_PARTY,"{""reason"": ""no_existing_party"", ""persons_total"": 848, ""r0_census_date"": ""2026-09-12"", ""collision_check"": ""pass"", ""uuid_collisions"": 0, ""deterministic_duplicates"": 0, ""data_quality_missing_dob_pct"": 0.00, ""data_quality_missing_name_pct"": 0.00}",planned,Sat Sep 12 2026 14:05:28 GMT+0700 (Indochina Time),Sat Sep 12 2026 14:05:29 GMT+0700 (Indochina Time)
171a27fa-82cb-4002-870a-07fc32dafbe1,171a27fa-82cb-4002-870a-07fc32dafbe1,dce8d4ce-2294-42b6-86ef-b6bcbeddb11c,CREATE_NEW_PARTY,"{""reason"": ""no_existing_party"", ""persons_total"": 848, ""r0_census_date"": ""2026-09-12"", ""collision_check"": ""pass"", ""uuid_collisions"": 0, ""deterministic_duplicates"": 0, ""data_quality_missing_dob_pct"": 0.00, ""data_quality_missing_name_pct"": 0.00}",planned,Sat Sep 12 2026 14:05:28 GMT+0700 (Indochina Time),Sat Sep 12 2026 14:05:29 GMT+0700 (Indochina Time)
