File,Timestamp,Name,Ownership,Actions,Objects,Dependencies
20260622254000_create_mv_hr_refresh_jobs.sql,20260622254000,"create_mv_hr_refresh_jobs",Legacy/Unknown,"CREATE EXTENSION, GRANT","",""
20260622260000_create_mv_customer_segments.sql,20260622260000,"create_mv_customer_segments",Spa/BabyCare,"CREATE INDEX, GRANT","",""
20260622261000_create_mv_customer_ltv.sql,20260622261000,"create_mv_customer_ltv",Spa/BabyCare,"CREATE INDEX, GRANT","",""
20260622262000_create_mv_customer_activity_summary.sql,20260622262000,"create_mv_customer_activity_summary",Spa/BabyCare,"CREATE INDEX, GRANT","",""
20260622263000_create_mv_customer_refresh_jobs.sql,20260622263000,"create_mv_customer_refresh_jobs",Spa/BabyCare,"CREATE EXTENSION, GRANT","",""
20260622270000_create_forecast_results.sql,20260622270000,"create_forecast_results",Legacy/Unknown,"CREATE TABLE, CREATE INDEX, ALTER TABLE, UPDATE, ENABLE ROW LEVEL SECURITY, CREATE POLICY","forecast_results","tenants, auth"
20260622271000_create_recommendation_cache.sql,20260622271000,"create_recommendation_cache",Legacy/Unknown,"CREATE TABLE, CREATE INDEX, ALTER TABLE, UPDATE, DELETE FROM, ENABLE ROW LEVEL SECURITY, CREATE POLICY","recommendation_cache","tenants, customers, auth"
20260622272000_create_mv_forecast_accuracy.sql,20260622272000,"create_mv_forecast_accuracy",Legacy/Unknown,"CREATE TABLE, CREATE INDEX, INSERT INTO, UPDATE","mv_forecast_accuracy_refresh_jobs",""
20260622273000_create_mv_customer_item_interactions.sql,20260622273000,"create_mv_customer_item_interactions",Spa/BabyCare,"CREATE TABLE, CREATE INDEX, INSERT INTO, UPDATE","mv_customer_item_interactions_refresh_jobs",""
20260622274000_create_demand_history_rpcs.sql,20260622274000,"create_demand_history_rpcs",Legacy/Unknown,"","",""
20260622275000_create_recommendation_rpcs.sql,20260622275000,"create_recommendation_rpcs",Legacy/Unknown,"","",""
20260622280000_performance_optimization_indexes.sql,20260622280000,"performance_optimization_indexes",Legacy/Unknown,"CREATE INDEX","",""
20260622280001_performance_optimization_mv_refresh.sql,20260622280001,"performance_optimization_mv_refresh",Legacy/Unknown,"INSERT INTO, UPDATE","",""
20260622280002_performance_optimization_mv_customer_interactions.sql,20260622280002,"performance_optimization_mv_customer_interactions",Spa/BabyCare,"INSERT INTO, UPDATE","",""
20260622290000_create_recruitment_system.sql,20260622290000,"create_recruitment_system",Education OS,"CREATE TABLE, CREATE INDEX, ALTER TABLE, UPDATE, GRANT, ENABLE ROW LEVEL SECURITY, CREATE POLICY","recruitment_positions, recruitment_candidates, recruitment_pipelines, recruitment_interviews","tenants, users, recruitment_positions, recruitment_candidates"
20260623000000_fix_salary_reconciliation_product_sales.sql,20260623000000,"fix_salary_reconciliation_product_sales",Legacy/Unknown,"UPDATE","",""
20260630192732_add_position_tier_hire_date_to_users.sql,20260630192732,"add_position_tier_hire_date_to_users",Platform/Core,"CREATE INDEX, ALTER TABLE, INSERT INTO, UPDATE","users",""
20260701000000_decision_engine_audit_log.sql,20260701000000,"decision_engine_audit_log",Legacy/Unknown,"CREATE TABLE, CREATE INDEX, ALTER TABLE, UPDATE, GRANT, ENABLE ROW LEVEL SECURITY, CREATE POLICY","decision_audit_log, policy_versions","tenants, users"
20260701000001_create_policy_registry.sql,20260701000001,"create_policy_registry",Legacy/Unknown,"CREATE TABLE, CREATE INDEX, CREATE POLICY","policy_registry","tenants, profiles"
20260701000002_create_policy_history.sql,20260701000002,"create_policy_history",Legacy/Unknown,"CREATE TABLE, CREATE INDEX, CREATE POLICY","policy_history","profiles, policy_registry"
20260701000003_create_policy_statistics.sql,20260701000003,"create_policy_statistics",Legacy/Unknown,"CREATE TABLE, CREATE INDEX, INSERT INTO, UPDATE, CREATE POLICY","policy_statistics","policy_registry"
20260701000004_create_policy_rls.sql,20260701000004,"create_policy_rls",Legacy/Unknown,"ALTER TABLE, UPDATE, GRANT, ENABLE ROW LEVEL SECURITY, CREATE POLICY","policy_registry, policy_history, policy_statistics",""
20260701000005_simplify_statistics.sql,20260701000005,"simplify_statistics",Legacy/Unknown,"CREATE INDEX, ALTER TABLE, DROP TABLE, DROP FUNCTION, UPDATE","policy_registry, policy_statistics",""
20260701000006_add_statistics_update_function.sql,20260701000006,"add_statistics_update_function",Legacy/Unknown,"UPDATE","",""
20260705000000_temp_leave_requests_for_gate1.sql,20260705000000,"temp_leave_requests_for_gate1",Legacy/Unknown,"CREATE TABLE, CREATE INDEX, ALTER TABLE, ENABLE ROW LEVEL SECURITY, CREATE POLICY","leave_requests","users, tenants"
20260709000000_complete_product_sales_reconciliation_fix.sql,20260709000000,"complete_product_sales_reconciliation_fix",Legacy/Unknown,"DROP FUNCTION, UPDATE, GRANT","",""
20260709120000_workflow_engine_foundation.sql,20260709120000,"workflow_engine_foundation",Legacy/Unknown,"CREATE TABLE, CREATE INDEX, ALTER TABLE, UPDATE, GRANT, ENABLE ROW LEVEL SECURITY, CREATE POLICY","workflow_executions, workflow_step_executions","tenants, workflow_executions"
20260709130000_rule_management_ui_foundation.sql,20260709130000,"rule_management_ui_foundation",Legacy/Unknown,"CREATE TABLE, CREATE INDEX, ALTER TABLE, UPDATE, GRANT, ENABLE ROW LEVEL SECURITY, CREATE POLICY","workflow_definitions, workflow_rules, workflow_versions, rule_simulations","tenants, users, workflow_definitions, workflow_rules"
20260709140000_booking_engine_schema.sql,20260709140000,"booking_engine_schema",Spa/BabyCare,"CREATE TABLE, CREATE INDEX, ALTER TABLE, INSERT INTO, UPDATE, ENABLE ROW LEVEL SECURITY, CREATE POLICY","waitlist, pricing_rules, capacity_snapshots, booking_events","tenants, customers, packages, employees, bookings, auth, branches"
20260709140001_booking_engine_schema_v2.sql,20260709140001,"booking_engine_schema_v2",Spa/BabyCare,"CREATE TABLE, CREATE INDEX, ALTER TABLE, UPDATE, ENABLE ROW LEVEL SECURITY, CREATE POLICY","waitlist, pricing_rules, capacity_snapshots, booking_events","tenants, customers, packages, bookings, auth"
20260709140002_booking_engine_schema_v3_final.sql,20260709140002,"booking_engine_schema_v3_final",Spa/BabyCare,"CREATE TABLE, CREATE INDEX, ALTER TABLE, UPDATE, ENABLE ROW LEVEL SECURITY, CREATE POLICY","waitlist, pricing_rules, capacity_snapshots, booking_events","tenants, customers, packages, users, bookings, auth"
20260709160000_decision_engine_metrics.sql,20260709160000,"decision_engine_metrics",Legacy/Unknown,"CREATE TABLE, CREATE INDEX, ALTER TABLE, GRANT, ENABLE ROW LEVEL SECURITY, CREATE POLICY","decision_engine_metrics","tenants, bookings, customers, users"
20260709170000_discount_provider.sql,20260709170000,"discount_provider",Legacy/Unknown,"CREATE TABLE, CREATE INDEX, ALTER TABLE, UPDATE, GRANT, ENABLE ROW LEVEL SECURITY, CREATE POLICY","discount_rules, discount_campaigns, discount_usage","tenants, users, customers, discount_rules, discount_campaigns, bookings"
20260710070000_fix_close_period_no_updated_at.sql,20260710070000,"fix_close_period_no_updated_at",Legacy/Unknown,"UPDATE","",""
20260710075412_remote_applied_placeholder.sql,20260710075412,"remote_applied_placeholder",Legacy/Unknown,"","",""
20260710075450_remote_applied_placeholder.sql,20260710075450,"remote_applied_placeholder",Legacy/Unknown,"","",""
20260710075832_remote_applied_placeholder.sql,20260710075832,"remote_applied_placeholder",Legacy/Unknown,"","",""
20260710081904_remote_applied_placeholder.sql,20260710081904,"remote_applied_placeholder",Legacy/Unknown,"","",""
20260710082004_remote_applied_placeholder.sql,20260710082004,"remote_applied_placeholder",Legacy/Unknown,"","",""
20260710120000_fix_salary_finalized_status_in_reconciliation_and_sync.sql,20260710120000,"fix_salary_finalized_status_in_reconciliation_and_sync",Legacy/Unknown,"","",""
20260710153900_fix_backfill_skip_locked_expenses.sql,20260710153900,"fix_backfill_skip_locked_expenses",Legacy/Unknown,"INSERT INTO, UPDATE","",""
20260710154000_allow_metadata_updates_on_locked_records.sql,20260710154000,"allow_metadata_updates_on_locked_records",Legacy/Unknown,"UPDATE","",""
20260710160000_rule_management_tables.sql,20260710160000,"rule_management_tables",Legacy/Unknown,"CREATE TABLE, CREATE INDEX, ALTER TABLE, INSERT INTO, UPDATE, GRANT, ENABLE ROW LEVEL SECURITY, CREATE POLICY","rules, rule_versions, rule_approvals, rule_test_results","tenants, rules, users"
20260710170000_fix_rule_management_rpcs.sql,20260710170000,"fix_rule_management_rpcs",Legacy/Unknown,"ALTER TABLE, DROP FUNCTION, UPDATE, GRANT","rule_versions, rules",""
20260711134600_fix_backfill_earned_revenue_and_inventory_cost.sql,20260711134600,"fix_backfill_earned_revenue_and_inventory_cost",Logistics OS,"INSERT INTO, UPDATE","",""
20260712000000_create_waitlist_tables.sql,20260712000000,"create_waitlist_tables",Legacy/Unknown,"CREATE TABLE, CREATE INDEX, ALTER TABLE, DROP TABLE, DROP INDEX, UPDATE, GRANT, ENABLE ROW LEVEL SECURITY, CREATE POLICY","waitlist_entries, waitlist_notification_logs","tenants, customers, bookings, packages, users, booking_resources, waitlist_entries"
20260713000000_performance_optimization_claims.sql,20260713000000,"performance_optimization_claims",Legacy/Unknown,"UPDATE","",""
20260713010000_optimize_financial_aggregation_indexes.sql,20260713010000,"optimize_financial_aggregation_indexes",Legacy/Unknown,"CREATE INDEX","",""
20260713020000_fix_and_reorder_financial_indexes.sql,20260713020000,"fix_and_reorder_financial_indexes",Legacy/Unknown,"CREATE INDEX, DROP INDEX","",""
20260713030000_allow_service_role_in_salary_sheet.sql,20260713030000,"allow_service_role_in_salary_sheet",Legacy/Unknown,"DROP FUNCTION, GRANT","",""
20260713080542_remote_applied_placeholder.sql,20260713080542,"remote_applied_placeholder",Legacy/Unknown,"","",""
20260713083239_remote_applied_placeholder.sql,20260713083239,"remote_applied_placeholder",Legacy/Unknown,"","",""
20260713092641_remote_applied_placeholder.sql,20260713092641,"remote_applied_placeholder",Legacy/Unknown,"","",""
20260714032101_remote_applied_placeholder.sql,20260714032101,"remote_applied_placeholder",Legacy/Unknown,"","",""
20260714032125_remote_applied_placeholder.sql,20260714032125,"remote_applied_placeholder",Legacy/Unknown,"","",""
20260714032901_remote_applied_placeholder.sql,20260714032901,"remote_applied_placeholder",Legacy/Unknown,"","",""
20260715200000_enable_break_time_buffer.sql,20260715200000,"enable_break_time_buffer",Legacy/Unknown,"UPDATE","",""
20260715223000_fix_inventory_purchase_backfill_payment_method.sql,20260715223000,"fix_inventory_purchase_backfill_payment_method",Logistics OS,"INSERT INTO, UPDATE","",""
20260716000000_add_product_usage_to_packages.sql,20260716000000,"add_product_usage_to_packages",Spa/BabyCare,"CREATE INDEX, ALTER TABLE","packages",""
20260716120000_add_beauty_spa_resources.sql,20260716120000,"add_beauty_spa_resources",Beauty OS,"CREATE TABLE, CREATE INDEX, ALTER TABLE, DROP TABLE, INSERT INTO","rooms, beds, equipment, bookings","tenants, rooms, beds"
20260718000000_fix_retail_package_full_price_in_anomalies.sql,20260718000000,"fix_retail_package_full_price_in_anomalies",Spa/BabyCare,"GRANT","",""
20260730120000_fix_validate_api_partner_type_mismatch.sql,20260730120000,"fix_validate_api_partner_type_mismatch",Legacy/Unknown,"GRANT","",""
20260730130000_create_log_api_request_rpc.sql,20260730130000,"create_log_api_request_rpc",Legacy/Unknown,"INSERT INTO, GRANT","",""
20260731010000_create_real_estate_schema.sql,20260731010000,"create_real_estate_schema",Real Estate,"CREATE TABLE, CREATE INDEX, ALTER TABLE, UPDATE, GRANT, REVOKE, ENABLE ROW LEVEL SECURITY, CREATE POLICY","real_estate_projects, real_estate_products","tenants, real_estate_projects"
20260731020000_create_generic_resource_capabilities_schema.sql,20260731020000,"create_generic_resource_capabilities_schema",Legacy/Unknown,"CREATE TABLE, CREATE INDEX, ALTER TABLE, ENABLE ROW LEVEL SECURITY, CREATE POLICY","resource_snapshots, resource_assignments, resource_sla_logs, resource_rotations, resource_audit_logs",""
20260801000000_create_metadata_version_schema.sql,20260801000000,"create_metadata_version_schema",Legacy/Unknown,"CREATE TABLE, CREATE INDEX, ALTER TABLE, ENABLE ROW LEVEL SECURITY, CREATE POLICY","metadata_configs, metadata_config_history",""
20260801010000_real_estate_foundation_tables.sql,20260801010000,"real_estate_foundation_tables",Real Estate,"CREATE TABLE, CREATE INDEX, ALTER TABLE, ENABLE ROW LEVEL SECURITY, CREATE POLICY","re_zones, re_blocks, re_price_lists, re_product_prices, re_promotions, re_price_history, rm_inventory_matrix, real_estate_products","tenants, real_estate_projects, re_zones, re_blocks, re_price_lists, real_estate_products"
20260801020000_reservation_engine.sql,20260801020000,"reservation_engine",Legacy/Unknown,"CREATE TABLE, CREATE INDEX, ALTER TABLE, INSERT INTO, UPDATE, GRANT, REVOKE, ENABLE ROW LEVEL SECURITY, CREATE POLICY","re_reservations","tenants, real_estate_products"
20260801030000_foundation_org_people_schema.sql,20260801030000,"foundation_org_people_schema",Legacy/Unknown,"CREATE TABLE, CREATE INDEX, ALTER TABLE, UPDATE, GRANT, REVOKE, ENABLE ROW LEVEL SECURITY, CREATE POLICY","org_units, org_relationships, people_directory, people_profiles","tenants, org_units, auth, people_directory"
20260801040000_foundation_org_people_seed_real_estate.sql,20260801040000,"foundation_org_people_seed_real_estate",Real Estate,"INSERT INTO, UPDATE","",""
